事件,事件A,事件B,关系,年份,实体
"2015年11月26日，菲律宾“因特阿克申""新闻网站（nteraksyon)报道称，菲律宾空军计划将12架全NationalIns新FA一50“金鹰”攻击机部署在南海附近3处空军基地，而这3处空军基地均位于南沙群岛附近。 ",菲律宾空军计划将12架FA-50“金鹰”攻击机部署在南海附近的3处空军基地。,这3处空军基地均位于南沙群岛附近。,条件,2015,菲律宾南海南沙
2015年12月28日，针对47名菲律宾青年上周末登上中业岛，中国外交部发言人陆慷28日表示，中国对包括中业岛在内的南沙群岛拥有无可争辩的主权，“我们再次敦促菲方从其非法侵占的中国岛礁上撤出一切人员和设施，不再做不利于本地区和平稳定、不利于中菲关系的事。” ,中国外交部发言人陆慷对菲律宾青年登上中业岛进行回应。,中国敦促菲律宾撤回所有人员和设施。,因果,2015,菲律宾中业岛中国外交部中国南沙中
2015年3月25日，正在日本访问的印度尼西亚总统佐科表示印尼不会在南中国海主权纠纷中偏袒任何一方。,印度尼西亚总统佐科在日本访问时发表声明。,印尼不会在南中国海主权纠纷中偏袒任何一方。,顺承,2015,日本印度尼西亚印尼南中国海
2015年4月21-24日，应印尼总统佐科的邀请，中国国家主席习近平赴印尼出席亚非领导人会议和万隆会议60周年纪念活动。期间，双方签署了《联合新闻公报》。,中国国家主席习近平赴印尼出席亚非领导人会议和万隆会议60周年纪念活动。,双方签署了《联合新闻公报》。,顺承,2015,印尼佐科中国
2015年1月20-21日，美国国务院主管亚太事务的助理国务卿丹尼尔．拉塞尔率代表团出访菲律宾，同菲方进行双边会谈。拉塞尔在发布会上称，美国和菲律宾曾分别敦促中方“中止一切有可能引发更为紧张态势的举动”。拉塞尔以质疑中国南海断续线而出名。,2015年1月20-21日，美国国务院主管亚太事务的助理国务卿丹尼尔．拉塞尔率代表团出访菲律宾。,拉塞尔在发布会上称，美国和菲律宾曾分别敦促中方“中止一切有可能引发更为紧张态势的举动”。,顺承,2015,美国丹尼尔．拉塞尔菲律宾拉塞尔中国
2015年1月22-23日，美国和越南第七次政治与防务安全磋商会议在河内举行。双方就南海问题交换意见，强调双方在维护航行自由与安全及航行航空自由的共同利益。,美国和越南在河内举行第七次政治与防务安全磋商会议。,双方就南海问题交换意见，强调维护航行自由与安全的共同利益。,顺承,2015,美国越南河内南海
2015年1月29日，美国第七舰队司令罗伯特托马斯在接受路透社采访时称，美国欢迎日本将空中巡逻范围扩展至南中国海疒以抗衡该地区不断增加的推进中国领土主张的中国舰艇和船只。,美国第七舰队司令罗伯特托马斯在采访中表示欢迎日本扩展空中巡逻范围。,日本扩展空中巡逻范围至南中国海以抗衡中国舰艇和船只。,因果,2015,美国罗伯特托马斯日本南中国海中国
2015年2月3日，针对美国第7舰队司令罗伯特．托马斯说欢迎日本加入南海巡航的言论，日本防卫大臣中谷元在记者会上表示将探讨相关事宜，声称自卫队的警戒监视范围不受地理范围限制，尽管目前尚无舰机巡逻南海的计划，但“南海局势对日本影响正在扩大”。,日本防卫大臣中谷元在记者会上表示将探讨相关事宜。,日本自卫队的警戒监视范围不受地理范围限制。,条件,2015,美国日本南海中谷元
2015年2月27日，美国海军首次证实，美军最先进的P-8A“海神”侦察机从菲律宾起飞，前往南中国海开展巡逻。报道称，美国承诺与菲律宾共享“即时”南海海域的信息。,美国海军首次证实P-8A“海神”侦察机从菲律宾起飞，前往南中国海开展巡逻。,美国承诺与菲律宾共享“即时”南海海域的信息。,因果,2015,美国菲律宾南中国海南海
2015年3月20日，针对美国第七舰队司令号召东盟国家联合在南海巡航的言论，中国外交部发言人洪磊表示，美方有关言论丝毫无助于南海和平稳定，希望美方恪守在领土主权归属问题上不持立场的承诺，停止发表不负责任的言论。,2015年3月20日，中国外交部发言人洪磊回应美国第七舰队司令号召东盟国家联合在南海巡航的言论。,洪磊表示美方有关言论丝毫无助于南海和平稳定，希望美方停止不负责任的言论。,因果,2015,美国东盟南海中国
2015年4月20-30日，美国和菲律宾年度联合军演“肩并肩”正式登场。此次军演参加人数过万，比去年增加一倍。且其中一个军演场地三描礼士海军基地，距离黄岩岛只有220公里。“肩并肩”军演是美菲之间以1951年共同防御协议为基础进行的年度军演，其中1995年起一度中断，到1999年恢复，今年为第31次。澳大利亚也派遣61名官兵和1架战机参加演习。,美国和菲律宾年度联合军演“肩并肩”正式登场。,此次军演参加人数过万，比去年增加一倍。,因果,2015,美国菲律宾三描礼士基地黄岩岛澳大利亚
2015年5月14日，路透社报道，美国一名匿名官员称，美国五角大楼考虑出动军机和军舰，进入南中国海南沙群岛的12海里范围内，以宣示航行自由，同时对中国的填海造地等领土声索行为直接提出质疑。,美国五角大楼考虑出动军机和军舰，进入南中国海南沙群岛的12海里范围内。,美国宣示航行自由，并对中国的填海造地等领土声索行为提出质疑。,因果,2015,路透社美国五角大楼南中国海中国
2015年5月16-17日，美国国务卿克里开始为期两天的中国之行，此次访问南海问题是主要关切的重点。16日，国家主席习近平、国务院总理李克强、中央军委副主席范长龙和中国外交部长王毅分别与克里举行了会面。克里重申了美国政府在南海问题上不选边站队的立场，表示对其他当事国将一视同仁。,美国国务卿克里开始为期两天的中国之行。,克里重申了美国政府在南海问题上不选边站队的立场。,顺承,2015,美国中国南海国务院李克强范长龙王毅克里
2015年5月22日，针对美军P-8A反潜侦察机20日抵近南沙岛礁进行侦查活动，外交部部发言人洪磊表示，美军机抵近侦察的举动，对中方岛礁的安全构成潜在威胁，极易引发误判，进而导致海空意外事件，是十分不负责任，也是十分危险的，有损地区和平稳定。中方对此表示强烈不满，要求美方严格遵守国际法和相关国际规则，不要采取任何冒险和挑衅行动。洪磊还表示，中方将继续严密监视有关海空情况，并视情采取适当和必要措施，防止发生危害中国岛礁安全的情况和海空意外事件。,美军P-8A反潜侦察机抵近南沙岛礁进行侦查活动。,外交部发言人洪磊表示该侦查活动对中方岛礁的安全构成潜在威胁。,因果,2015,南沙中国
2015年5月30日，针对美国国防部长卡特对中国在南海的岛礁建设的言论，中国外交部发言人表示，反对美国对中国在南海己形成的主权和权益说三道四，中国在南海的主权有历史法理依据，无需通过岛礁建设来强化。,中国外交部发言人反对美国对中国在南海的岛礁建设的言论。,中国在南海的主权有历史法理依据，无需通过岛礁建设来强化。,因果,2015,美国卡特中国南海
2015年8月26-27日，26日，路透社报道称，美国太平洋司令部司令哈里斯访问菲律宾，与菲律宾国防部长以及陆军司令等人会面。据菲律宾媒体称，哈里斯“现场考察了南海情况”。菲军方发言人帕迪拉27日表示，菲国防部己向美国提出“监控南海”以及“护航”的请求。,美国太平洋司令部司令哈里斯访问菲律宾，并与菲律宾国防部长和陆军司令会面。,菲律宾国防部向美国提出“监控南海”以及“护航”的请求。,顺承,2015,美国太平洋司令部哈里斯菲律宾南海
2015年10月9日，日本《产经新闻》10月8日报道称，在南海问题上与中国对立的菲律宾，8日向媒体公开了与美军举行的年度“两栖登陆演习”的情况。演习地点位于面朝南海的菲律宾吕宋岛甲米地省沿岸，计划新建“水陆机动团”负责夺岛作战任务的日本自卫队干部也作为观察员考察了演习。,菲律宾公开与美军举行的年度“两栖登陆演习”的情况。,日本自卫队干部作为观察员考察了演习。,顺承,2015,日本产经南海中国菲律宾吕宋岛甲米地省
2015年10月27日，美国“拉森”号导弹驱逐舰于27日驶入南沙群岛中的渚碧礁12海里以内。对此美国海军的行为，28日，中国外交部发言人陆慷说：“对于任何国家的蓄意挑衅，中方都会坚决予以应对。我们将继续严密监视有关海空情况，并根据需要采取一切必要措施。”中国外交部长王毅则奉劝美方“三思而后行，不要轻举妄动，不要无事生非”。中国驻美使馆发言人朱海权在华盛顿表示，任何国家不应把航行自由当作“秀肌肉”和损害他国主权和安全的借口。美国五角大楼官员表明，昨天的巡航“不针对任何国家”，未来几周还会有更多的巡航活动，并可能在越南和菲律宾在南沙群岛建造的设施附近进行。,美国“拉森”号导弹驱逐舰驶入南沙群岛中的渚碧礁12海里以内。,中国外交部发言人表示对美国海军的蓄意挑衅将坚决应对，并监视海空情况。,因果,2015,美国南沙渚碧礁中国王毅美华盛顿越南菲律宾
2015年11月20日，针对安倍在与美国总统奥巴马见面时称日支持美派军舰进入中国南海有关岛礁附近水域自由航行，将研宄是否派海上自卫队参与南海巡航。中国外交部发言人洪磊表示，中国坚决维护各国依国际法在南海享有的航行自由，南海的航行自由从来不存在任何问题。日本在二战期间一度侵占中国南海诸岛。中国在抗日战争暨世界反法西斯战争胜利后，收复了南海诸岛。日本应铭记历史，深刻反思。中方对日本插手南海问题特别是在军事上重返南海保持高度警惕。,安倍在与奥巴马见面时称日本支持美派军舰进入南海有关岛礁附近水域自由航行。,中国外交部发言人表示坚决维护各国在南海享有的航行自由，并对日本插手南海问题保持高度警惕。,因果,2015,安倍美国奥巴马美中国南海外交部日本
